var0	var1	var2	var3
0	1	1	0
1	0	1	0
1	1	1	0
1	0	1	0
1	1	0	0
0	0	0	1
0	0	1	0
0	0	0	1
0	1	0	0
1	0	1	0
1	0	1	0
1	0	1	0
0	0	0	1
1	0	0	1
0	0	0	1
1	1	1	0
0	1	0	0
0	0	0	1
1	0	1	0
0	0	0	1
1	1	1	0
1	1	1	0
0	1	0	0
1	0	0	1
0	0	0	1
1	0	1	0
0	1	0	0
1	0	1	0
1	1	0	0
0	1	0	0
1	1	1	0
0	0	0	1
0	1	0	0
1	1	1	0
0	1	0	0
0	1	0	0
0	1	0	0
1	1	1	0
0	1	0	0
0	0	0	1
0	0	0	1
1	0	0	1
0	0	0	1
0	1	0	0
0	1	0	0
1	0	1	0
1	1	1	0
0	0	0	1
1	1	1	0
1	1	1	0
0	0	0	1
0	0	1	0
0	1	0	0
0	1	0	0
1	0	1	0
0	1	1	0
0	1	0	0
1	0	1	0
1	1	1	0
0	1	0	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
0	1	0	0
1	0	1	0
1	0	1	0
0	0	0	1
0	0	0	1
1	1	1	0
0	0	0	1
0	1	1	0
1	0	1	0
0	1	1	0
0	0	0	1
0	0	0	1
1	0	1	0
0	1	0	0
1	1	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	0
0	1	1	0
0	1	0	0
1	1	1	0
0	1	0	0
0	1	0	0
0	0	0	1
0	1	0	0
1	0	1	0
1	0	1	0
0	0	0	1
1	1	1	0
1	1	1	0
1	1	1	0
1	1	1	0
1	0	1	0
1	0	1	0
0	1	0	0
