sepal_length	sepal_width	petal_length	petal_width	species	predict
5.1	3.5	1.4	0.2	setosa	5.01593133269841
4.9	3	1.4	0.2	setosa	4.74387998598179
4.7	3.2	1.3	0.2	setosa	4.77997350385756
4.6	3.1	1.5	0.2	setosa	4.87101727613599
5	3.6	1.4	0.2	setosa	5.07034160204174
5.4	3.9	1.7	0.4	setosa	5.38937387402828
4.6	3.4	1.4	0.3	setosa	4.93033126411706
5	3.4	1.5	0.2	setosa	5.03424808416597
4.4	2.9	1.4	0.2	setosa	4.68946971663847
4.9	3.1	1.5	0.1	setosa	4.90220707537403
5.4	3.7	1.5	0.2	setosa	5.19747889219594
4.8	3.4	1.6	0.2	setosa	5.10697510497685
4.8	3	1.4	0.1	setosa	4.77506978521982
4.3	3	1.1	0.1	setosa	4.55688872278719
5.8	4	1.2	0.2	setosa	5.14252863779327
5.7	4.4	1.5	0.4	setosa	5.51597117912314
5.4	3.9	1.3	0.4	setosa	5.09846579078477
5.1	3.5	1.4	0.3	setosa	4.98474153346038
5.7	3.8	1.7	0.3	setosa	5.36615340392299
5.1	3.8	1.5	0.3	setosa	5.22069936230123
5.4	3.4	1.7	0.2	setosa	5.17970212578772
5.1	3.7	1.5	0.4	setosa	5.13509929371988
4.6	3.6	1	0.2	setosa	4.77943351879822
5.1	3.3	1.7	0.5	setosa	5.03172245873031
4.8	3.4	1.9	0.2	setosa	5.32515616740948
5	3	1.6	0.2	setosa	4.88933402760355
5	3.4	1.6	0.4	setosa	5.04459550650078
5.2	3.5	1.5	0.2	setosa	5.08865835350929
5.2	3.4	1.4	0.2	setosa	4.96152106335509
4.7	3.2	1.6	0.2	setosa	4.9981545662902
4.8	3.1	1.6	0.2	setosa	4.94374429694687
5.4	3.4	1.5	0.4	setosa	4.9718684856899
5.2	4.1	1.5	0.1	setosa	5.44630976880726
5.5	4.2	1.4	0.2	setosa	5.39680321810168
4.9	3.1	1.5	0.2	setosa	4.87101727613599
5	3.2	1.2	0.2	setosa	4.70724648304668
5.5	3.5	1.3	0.2	setosa	4.94320431188753
4.9	3.6	1.4	0.1	setosa	5.10153140127977
4.4	3	1.3	0.2	setosa	4.67115296517091
5.1	3.4	1.5	0.2	setosa	5.03424808416597
5	3.5	1.3	0.3	setosa	4.9120145126495
4.5	2.3	1.3	0.3	setosa	4.25909128052961
4.4	3.2	1.3	0.2	setosa	4.77997350385756
5	3.5	1.6	0.6	setosa	5.03662617736804
5.1	3.8	1.9	0.4	setosa	5.48041764630671
4.8	3	1.4	0.3	setosa	4.71269018674376
5.1	3.8	1.6	0.2	setosa	5.32461618235014
4.6	3.2	1.4	0.2	setosa	4.85270052466844
5.3	3.7	1.5	0.2	setosa	5.19747889219594
5	3.3	1.4	0.2	setosa	4.90711079401176
7	3.2	4.7	1.4	versicolor	6.44912887399986
6.4	3.2	4.5	1.5	versicolor	6.27248503314007
6.9	3.1	4.9	1.5	versicolor	6.50898284704026
5.5	2.3	4	1.3	versicolor	5.48153710347183
6.5	2.8	4.6	1.5	versicolor	6.12757097657766
5.7	2.8	4.5	1.3	versicolor	6.11722355424284
6.3	3.3	4.7	1.6	versicolor	6.44115954486712
4.9	2.4	3.3	1	versicolor	5.12042762485309
6.6	2.9	4.6	1.3	versicolor	6.24436084439704
5.2	2.7	3.9	1.4	versicolor	5.59526136079621
5	2	3.5	1	versicolor	5.04824058910155
5.9	3	4.2	1.5	versicolor	5.94548343202079
6	2.2	4	1	versicolor	5.5206962318426
6.1	2.9	4.7	1.4	versicolor	6.28589806596989
5.6	2.9	3.6	1.3	versicolor	5.51709063628825
6.7	3.1	4.4	1.4	versicolor	6.1765375422239
5.6	3	4.5	1.5	versicolor	6.16366449445343
5.8	2.7	4.1	1	versicolor	5.86547459937009
6.2	2.2	4.5	1.5	versicolor	5.72838233970683
5.6	2.5	3.9	1.1	versicolor	5.58001021982366
5.9	3.2	4.8	1.8	versicolor	6.39709669785862
6.1	2.8	4	1.3	versicolor	5.75358845018845
