sepal_length	sepal_width	petal_length	petal_width	species	predict
5.1	3.5	1.4	0.2	setosa	4.99210460769926
4.9	3	1.4	0.2	setosa	4.68592131988647
4.7	3.2	1.3	0.2	setosa	4.72657233329055
4.6	3.1	1.5	0.2	setosa	4.82898027917007
5	3.6	1.4	0.2	setosa	5.05334126526182
5.4	3.9	1.7	0.4	setosa	5.38616309396809
4.6	3.4	1.4	0.3	setosa	4.88269042556444
5	3.4	1.5	0.2	setosa	5.01269025185774
4.4	2.9	1.4	0.2	setosa	4.62468466232391
4.9	3.1	1.5	0.1	setosa	4.87715780374233
5.4	3.7	1.5	0.2	setosa	5.19640022454542
4.8	3.4	1.6	0.2	setosa	5.09451255357878
4.8	3	1.4	0.1	setosa	4.73409884445873
4.3	3	1.1	0.1	setosa	4.48863193929561
5.8	4	1.2	0.2	setosa	5.13464329206997
5.7	4.4	1.5	0.4	setosa	5.5287017783388
5.4	3.9	1.3	0.4	setosa	5.05887388708393
5.1	3.5	1.4	0.3	setosa	4.943927083127
5.7	3.8	1.7	0.3	setosa	5.37310396097779
5.1	3.8	1.5	0.3	setosa	5.20945935753571
5.4	3.4	1.7	0.2	setosa	5.17633485529982
5.1	3.7	1.5	0.4	setosa	5.10004517540089
4.6	3.6	1	0.2	setosa	4.72605205837766
5.1	3.3	1.7	0.5	setosa	4.97056562402048
4.8	3.4	1.9	0.2	setosa	5.3399794587419
5	3	1.6	0.2	setosa	4.84956592332855
5	3.4	1.6	0.4	setosa	4.99815750443426
5.2	3.5	1.5	0.2	setosa	5.0739269094203
5.2	3.4	1.4	0.2	setosa	4.9308679501367
4.7	3.2	1.6	0.2	setosa	4.97203923845367
4.8	3.1	1.6	0.2	setosa	4.91080258089111
5.4	3.4	1.5	0.4	setosa	4.91633520271322
5.2	4.1	1.5	0.1	setosa	5.48952437936791
5.5	4.2	1.4	0.2	setosa	5.42076121063717
4.9	3.1	1.5	0.2	setosa	4.82898027917007
5	3.2	1.2	0.2	setosa	4.64475003156951
5.5	3.5	1.3	0.2	setosa	4.91028230597822
4.9	3.6	1.4	0.1	setosa	5.10151878983408
4.4	3	1.3	0.2	setosa	4.60409901816543
5.1	3.4	1.5	0.2	setosa	5.01269025185774
5	3.5	1.3	0.3	setosa	4.86210478140596
4.5	2.3	1.3	0.3	setosa	4.12726489065526
4.4	3.2	1.3	0.2	setosa	4.72657233329055
5	3.5	1.6	0.6	setosa	4.96303911285229
5.1	3.8	1.9	0.4	setosa	5.48857103984761
4.8	3	1.4	0.3	setosa	4.63774379531421
5.1	3.8	1.6	0.2	setosa	5.33945918382902
4.6	3.2	1.4	0.2	setosa	4.80839463501159
5.3	3.7	1.5	0.2	setosa	5.19640022454542
5	3.3	1.4	0.2	setosa	4.86963129257414
7	3.2	4.7	1.4	versicolor	6.51183428977172
6.4	3.2	4.5	1.5	versicolor	6.30001216175738
6.9	3.1	4.9	1.5	versicolor	6.56606471107898
5.5	2.3	4	1.3	versicolor	5.43612578423368
6.5	2.8	4.6	1.5	versicolor	6.13688783322819
5.7	2.8	4.5	1.3	versicolor	6.15142058065167
6.3	3.3	4.7	1.6	versicolor	6.47671589818976
4.9	2.4	3.3	1	versicolor	5.06913890346575
6.6	2.9	4.6	1.3	versicolor	6.29447953993527
5.2	2.7	3.9	1.4	versicolor	5.55107258819061
5	2	3.5	1	versicolor	4.9878368766576
5.9	3	4.2	1.5	versicolor	5.93207194146914
6	2.2	4	1	versicolor	5.51942170038791
6.1	2.9	4.7	1.4	versicolor	6.32812431708405
5.6	2.9	3.6	1.3	versicolor	5.47625652272487
6.7	3.1	4.4	1.4	versicolor	6.20513072704605
5.6	3	4.5	1.5	versicolor	6.17753884663226
5.8	2.7	4.1	1	versicolor	5.90742728992174
6.2	2.2	4.5	1.5	versicolor	5.6876455861318
5.6	2.5	3.9	1.1	versicolor	5.57313184678228
5.9	3.2	4.8	1.8	versicolor	6.40094649320371
6.1	2.8	4	1.3	versicolor	5.74230907204647
6.3	2.5	4.9	1.5	versicolor	6.19864476570363
6.1	2.8	4.7	1.2	versicolor	6.36324270866601
6.4	2.9	4.3	1.3	versicolor	6.04901263477215
6.6	3	4.4	1.4	versicolor	6.14389406948349
6.8	2.8	4.8	1.4	versicolor	6.34870996124253
6.7	3	5	1.7	versicolor	6.49029530609294
6	2.9	4.5	1.5	versicolor	6.11630218906971
5.7	2.6	3.5	1	versicolor	5.35525682203295
5.5	2.4	3.8	1.1	versicolor	5.43007288749869
5.5	2.4	3.7	1	versicolor	5.39642811034991
5.8	2.7	3.9	1.2	versicolor	5.64742763733514
6	2.7	5.1	1.6	versicolor	6.43658515969856
5.4	3	4.5	1.5	versicolor	6.17753884663226
6	3.4	4.5	1.6	versicolor	6.37430795231024
6.7	3.1	4.7	1.5	versicolor	6.4024201076369
6.3	2.3	4.4	1.3	versicolor	5.76341499111784
5.6	3	4.1	1.3	versicolor	5.94660468889263
5.5	2.5	4	1.3	versicolor	5.5585990993588
5.5	2.6	4.4	1.2	versicolor	5.99530248837778
6.1	3	4.6	1.4	versicolor	6.30753867292557
5.8	2.6	4	1.2	versicolor	5.66801328149362
5	2.3	3.3	1	versicolor	5.00790224590319
5.6	2.7	4.2	1.3	versicolor	5.844717017926
5.7	3	4.2	1.2	versicolor	6.07660451518593
5.7	2.9	4.2	1.3	versicolor	5.96719033305111
6.2	2.9	4.3	1.3	versicolor	6.04901263477215
5.1	2.5	3	1.1	versicolor	4.83673113129293
5.7	2.8	4.1	1.3	versicolor	5.82413137376751
6.3	3.3	6	2.5	virginica	6.95929527404528
5.8	2.7	5.1	1.9	virginica	6.14453976061415
7.1	3	5.9	2.1	virginica	6.88647309792561
6.3	2.9	5.6	1.8	virginica	6.72430210891672
6.5	3	5.8	2.2	virginica	6.75647327163231
7.6	3	6.6	2.1	virginica	7.45922920997289
4.9	2.5	4.5	1.7	virginica	5.62748768430732
7.3	2.9	6.3	1.8	virginica	7.297058220964
6.7	2.5	5.8	1.8	virginica	6.64300008210857
7.2	3.6	6.1	2.5	virginica	7.22482754845399
6.5	3.2	5.1	2	virginica	6.40254552385468
6.4	2.7	5.3	1.9	virginica	6.30818436405623
6.8	3	5.5	2.1	virginica	6.55918389104146
5.7	2.5	5	2	virginica	5.89206661919573
5.8	2.8	5.1	2.4	virginica	5.96488879531539
